Course Code,Course Title,Credits,Course Description,Crd Hour
CSX3002,Object-Oriented Concepts and Programming,3,"Different software development methods emphasizing on object-oriented methods, fundamental concepts of object oriented programming, inheritance, polymorphism, encapsulation, object oriented programming tools, class libraries, application development using object oriented concept, analysis and design of object-oriented data architecture.",3-0-6
CSX3003,Data Structures and Algorithms,3,"Analysis of complexity of algorithms, various data structures including array, string, stack, queue, dequeue, tree, graph, set and heap, applications and analysis of algorithms developed employing the data structures mentioned above including time and memory requirement analysis of various searching and sorting algorithms.",3-0-6
CSX3004,Programming Languages,3,"Computer programming languages on comparative basis with special consideration on syntax, semantics, and implementation, emphasizing on suitability of programming languages for various data manipulations and situations: exception handling, subroutines, visibility rules, concurrency and memory management.",3-0-6
CSX3009,Algorithm Design,3,"Techniques for designing algorithms using divide and conquer, greedy method, dynamic programming and backtracking by emphasizing on analysis of efficiency, design techniques for NP problem domain.",3-0-6
CSX2009,Cloud Computing,3,"Cloud computing concepts and capabilities, cloud service models; IaaS, PaaS and SaaS, cloud containers, virtualization technologies, infrastructure migration approaches, cloud security and protection mechanisms, cloud resource management and monitoring capabilities, current trends and research in cloud computing.",3-0-6
CSX3005,Computer Networks,3,"Fundamentals of computer networks, network devices and services, role of protocol layers, protocol basics and network protocols, inter-operability issues, Open System Interconnection (OSI) reference model and TCP/IP, addressing and naming schemes, network types and topologies, wired and wireless networks, network media, Local Area Network (LAN) and Wide Area Network (WAN) technologies, network security basics.",3-0-6
CSX3006,Database Systems,3,"Database systems and database management, types of database systems emphasizing on relational database, functional dependency, normalization, query optimization, integrity and security of database systems, and concurrency control.",3-0-6
CSX3008,Operating Systems,3,"Components and functions of operating systems, uniprogramming, multi-programming, multitasking, multithreading, resource management functions of operating systems, process scheduling algorithms, device management algorithms, virtual memory management, and classical problems related to operating systems such as deadlock, starvation, and concurrency.",3-0-6
CSX3007,Computer Architecture,3,"Computer system components, combinatory circuits, sequential circuits, micro-operations using flip-flop, registers, adder and counter, computational operations and control of micro-operations, design of memory unit, design of set of instructions, design of parallel processing as well as SISD, SIMD, MISD, and MIMD architectures.",3-0-6
ITX3004,Information System Analysis and Design,3,"The information system development life cycle, methodologies in information system analysis and design, tools and techniques used in information system analyze and design.",3-0-6
ITX3007,Software Engineering,3,"Software life cycle, analysis of requirements, structured software design, development, implementation, testing, and maintenance of software, reusable software, documentation and software manuals, and software project management.",3-0-6
ITX4104,Software Testing,3,"Detailed activities involved in testing a software, different approaches in testing various components of a software, appropriate testing methods for different problems, and utilization of testing reports effectively in order to improve quality of a software both during software development and after software implementation.",3-0-6
CSX4107,Web Application Development,3,"Web application design and development, model view controller (MVC) framework, Hypertext Markup Language (HTML), Dynamic HTML (DHTML), scripting languages (such as VB Script, Jscript), knowledge and skills required to develop web application using n-tiers architecture, designing, building, and deploying web application",3-0-6
CSX4109,Android Application Development,3,"Introduction to Android application development for ubiquitous devices such as phones and tablets, developing Android application on Android Studio with Kotlin programming language, emphasizing of hands-on project works, and development of small-scale applications.",3-0-6
CSX4110,Backend Application Development,3,"Foundational skills of back-end application development, developing applications using the modern server-side programming languages and frameworks, back-end application development process including connecting databases, testing, building, and using of APIs such as RESTful, and implementing security features to the applications",3-0-6
CSX4407,Enterprise Application Development,3,"High-level overview of enterprise application architecture; analyzing, designing, and developing enterprise application on selected architecture and platform; use of DevOps toolchain to develop, test, integrate, and deploy enterprise software; designing and developing interoperability among applications.",3-0-6
CSX4201,Artificial Intelligence Concepts,3,"Fundamental concepts in AI and its purpose as well as different disciplines in the field, mathematical theorem proving, natural language processing, image processing, robotics, expert system and various techniques used in knowledge representation, searching, induction and heuristic algorithms, foundations of intelligent systems, intelligent agents, intelligent application development, use of popular programming languages such as Python, Prolog and LISP to solve AI related problems.",3-0-6
CSX4203,Machine Learning,3,"Construction of computer programs that will automatically improve their performance through experience, primary approaches to machine learning, including inductive inference of decision trees, case-based learning, neural network learning, statistical learning methods, and Bayesian learning.",3-0-6
CSX4207,Decision Support and Recommender Systems,3,"Recommender systems concepts, classical techniques for building recommender systems such as collaborative based, content-based, knowledge-based and hybrid recommendation approaches, techniques and approaches used to evaluate the quality of the recommendations, guidelines on matching recommendation technologies and domains, recent developments and applications of recommender systems.",3-0-6
CSX4210,Natural Language Processing and Social Interactions,3,"Human language from a computational perspective, syntactic analysis, semantic interpretation, and discourse processing (both symbolic and statistical approaches), information extraction, natural language generation, and applications of NLP in social interactions.",3-0-6
CSX4211,Data Engineering,3,"Data ecosystem, data engineering lifecycle, types of databases, data processing, data processing scheduling, Extract-Transform and Load (ETL) process, data warehouse and data lake, cloud technologies and platforms in data engineering, data engineering toolbox. ",3-0-6
CSX4212,Data Analytics,3,"Fundamental of big data, data pre-processing, analytics algorithms, descriptive analytics, diagnostic analytics, predictive analytics, prescriptive analytics, case studies on data analysis, design theory and study of communication, visualization tools and techniques, big data business use cases, and business intelligence tool and report.",3-0-6
CSX4213,Computer Vision,3,"Fundamental problems and techniques in computer vision: image formation, camera image geometry, feature detection in images, edge/line detection, recovery of shape from images, forming image mosaics; video surveillance techniques; recognizing, classifying and tracking objects in images.",3-0-6
CSX4108,iOS Application Development,3,"Introduction to software development for hand-held devices, iOS application development for ubiquitous devices such as iPhone and iPad, developing iOS applications using Xcode with Swift programming language, emphasizing of hands-on project works, and development of small-scale applications.",3-0-6
CSX4202,Data Mining,3,"Fundamental concepts of data mining, widely used techniques/algorithms and tools, pre-processing, exploratory data analysis, classification, clustering, association analysis and region discovery.",3-0-6
CSX4205,Big Data Analytics,3,"Foundational techniques and tools required for big data analytics, deployment of structured approach to big data analytics projects, visualization techniques and tools to analyze big data and create statistical models, usage of tools such as Hadoop, MapReduce, Spark, and Graph.",3-0-6
CSX4206,Data Warehousing and Business Intelligence,3,"Fundamental and evolution of data warehouse concepts including data warehouse architecture, development methodology, data modeling, data conversion, OLAP, ETL processes, data access, business intelligence applications.",3-0-6
CSX4208,Deep Learning,3,"Introduction to deep learning concepts and techniques including perceptron, artificial neural networks, activation function, learning techniques, back propagation, problem of traditional neural network; vanishing/exploding gradient, regularization, pre-processing, deep feed forward networks, convolutional networks, recurrent neural networks, and their applications.",3-0-6
CSX4306,Internet of Things,3,"Introduction to Internet, Internet of Things, technological trends leading toward IoT, embedded system and its interface, common hardware components of IoT devices, IoT devices’ software and hardware interaction, IoT protocols, IoT and cloud service/computing.",3-0-6
CSX4501,Theory of Computation,3,"Methods of computation, sequential computation, parallel computation, logic circuits, finite-state machine, deterministic and non-deterministic machine, regular and non-regular set, context-free grammars, push-down automata, Turing machine, computability and non-computability, halting problem, examples of class P and class NP problems, theories and techniques for various computational problems which are the basis of computer science",3-0-6
CSX4510,Neural Networks,3,"Fundamental concepts in neural networks; modern practical deep networks; deep feed forward networks, regularization for deep learning, optimization for training deep models, convolutional networks, sequence modeling (recurrent and recursive nets).",3-0-6
CSX4513,AR/VR Application Development,3,"Unique user experience concerns around developing for AR/VR; usage of modern software packages and frameworks including tracking, teleporting, interacting with virtual objects, positional audio; development and deployment of AR/VR applications for modern-day problems.",3-0-6
CSX4514,Cross-platform Application Development,3,"Introduction to cross-platform application development for supporting different operating systems such as Android and iOS, developing cross-platform applications using React Native with Javascript programming language, emphasizing on hands-on project works, and development of small-scale applications.",3-0-6
CSX4515,Game Design and Development,3,"Game design and development of 2D and 3D games emphasizing on game programming, use of modern game engines and frameworks, understanding of the syntax of computer programming language for games, and incorporating concept art and story into game contents.",3-0-6
CSX4516,Reusability and Design Patterns,3,"Refactoring and design pattern principles, structures and components of design patterns, creational patterns, structural patterns, behavioral patterns, use of design patterns in application development.",3-0-6
ITX2004,UI/UX Design and Prototyping,3,"Overview of interactive systems, user capabilities, interface technology, design thinking process, user stories and scenarios, wireframes and storyboards, prototyping, interaction design, usability design and testing.",3-0-6
ITX3003,Business Systems,3,"Business systems and their interrelationships including finance, accounting, sales, marketing, human resources, law and operations, inputs and outputs of information systems, potential for integration of the systems, and information systems security.",3-0-6
ITX4212,Predictive Analytics,3,"Predictive analytic, predictive techniques and tools, predictive modeling, model evaluation, model reasoning, suggestion, and adaptation.",3-0-6
ITX4213,Artificial Intelligence for Business,3,"Fundamental concepts of artificial intelligence and its applications in modern business operations, from sales and marketing to customer support operations, AI applications to real-world business scenarios, AI tools and technologies in the market, and legal and social acceptance of AI technologies",3-0-6
ITX4502,Tech Startup,3,"Overview of tech startup, innovations, design thinking, ideation, persona, user interface design, UX/UI, lean startup, lean canvas, value propositions, UVP, agile manifesto, business modeling, entrepreneurship, marketing, pitching, growth hacking, angel investors, venture capital.",3-0-6
ITX4509,Cybersecurity,3,"Overview of cybersecurity threats, different types of cyber-attacks, defense strategies to secure the infrastructure, devices, and networks of the organization.",3-0-6
ITX4517,Software Configuration Management,3,"Issues in Software Configuration Management, Software Configuration Management Process, Software Configuration Identification and Control Software Configuration Status Accounting and Auditing, Software Release Management and Delivery, Software Configuration Management Plan, Software Configuration Management Tools, Continuous Integration (CI), Continuous Delivery and Deployment (CD).",3-0-6
ITX4518,Blockchain and Digital Currencies,3,"Introduction to blockchain concept, business disruption with blockchain, blockchain technological components, public and private blockchain, Bitcoin, coin mining, consensus protocols, blockchain security, cryptocurrencies, Initial Coin Offerings (ICOs), blockchain infrastructure and implementation, practical work on Ethereum and Hyperledger Fabric.",3-0-6
ITX4519,Internetworking Workshop,3,"Models of the Internet and computer networks, IP addressing, Ethernet concepts, media, and operations, operations of routers and switches in a small network, simple LANs and internetworks implementation.",3-0-6
