Course Code,Course Title,Credits,Course Description,Crd Hour
CSX4108,iOS Application Development,3,Develops iOS applications for Apple mobile devices,3-0-6
CSX4205,Big Data Analytics,3,Applies big data analytics for decision making and business insights,3-0-6
CSX4306,Internet of Things,3,Introduces Internet of Things concepts and applications,3-0-6
CSX4407,Enterprise Application Development,3,Covers enterprise system and large scale application development,3-0-6
CSX4514,Cross-platform Application Development,3,Teaches cross platform mobile application development,3-0-6
ITX4106,Enterprise Architectures,3,Covers enterprise architecture design and business integration,3-0-6
ITX4307,Business Continuity Planning and Management,3,Develops business continuity management and disaster recovery plans,3-0-6
ITX4403,Manufacturing Management System,3,Explores manufacturing management systems and automation technologies,3-0-6
ITX4404,Supply Chain Management System,3,Covers supply chain management systems and optimization techniques,3-0-6
ITX4502,Tech Startup,3,Guides creation of technology startup business models,3-0-6
ITX4504,Digital Marketing,3,Explores digital marketing tools and online branding strategies,3-0-6
ITX4505,Digital Transformation,3,Covers organizational digital transformation and technology adaptation,3-0-6
ITX4507,Information Retrieval and Search Engines,3,Teaches information retrieval search algorithms and data access techniques,3-0-6
ITX4508,Quantitative Research for Digital Business,3,Covers quantitative research methods for digital business analysis,3-0-6
ITX4509,Cybersecurity,3,Introduces cybersecurity concepts and protection techniques,3-0-6
ITX4510,Data Policies and Governance,3,Explores data policy governance and ethical management practices,3-0-6
ITX4511,Internet of Behaviors,3,Examines Internet of Behaviors and user analytics,3-0-6
ITX4512,Marketing Automation Systems,3,Covers marketing automation systems and customer engagement tools,3-0-6
ITX4513,Social Media Analytics,3,Applies social media analytics for digital marketing insights,3-0-6
ITX4517,Software Configuration Management,3,Covers software configuration management and version control systems,3-0-6
ITX4519,Internetworking Workshop,3,Provides practical training in computer networking and integration,3-0-6
